Text_Clean,Latitude,Longitude,Country,coordinates,city
     beat me on the bottom with a womans  weekly      ,51.54127771,-0.22907282,GB,"[51.54127771, -0.22907282]",Greater London
im at financial times in london greater london ,51.50744699,-0.09432793,GB,"[51.50744699, -0.09432793]",Greater London
smile for you   yes you    at my beautiful room   ,54.95396476,-7.37649929,GB,"[54.95396476, -7.37649929]",Derry And Strabane
pleased that hearn acknowledged they should have renamed masters trophy after paul hunter sooner  seemed logical after he died in  ,52.4489382,-1.9333357,GB,"[52.4489382, -1.9333357]",West Midlands
only one mode of transport when the weathers is nice as this   ,55.03333333,-1.43333333,GB,"[55.03333333, -1.43333333]",Tyne and Wear
the view on  bishopsgate on my  runcommute  last run in london before my next race    ,51.51330224,-0.13134784,GB,"[51.51330224, -0.13134784]",Greater London
 that s why i m here in  london now  hip hip hoeraaaaaaa long live all queens  amp  queers,51.5575173,-0.2820904,GB,"[51.5575173, -0.2820904]",Greater London
  bst  temperature    c wind  s  mph ave  mph gust humidity    rain hourly   mm pressure   hpa rising slowly,51.676323,-3.542993,GB,"[51.676323, -3.542993]",Rhondda Cynon Taff
no filter  looking spectacular  yesterday has killed me so ive granted myself the morning off  ,50.73582106,-3.53508792,GB,"[50.73582106, -3.53508792]",Devon
if youre a  pharmaceutical professional in  england check out this  job    hiring  careerarc,52.3555177,-1.1743197,GB,"[52.3555177, -1.1743197]",Northamptonshire
 we celebrate years of day care to disabled adults tomorrow   are you interested in our story  would you join us   elwood,52.52177825,-1.84820144,GB,"[52.52177825, -1.84820144]",West Midlands
"maintain your discipline and get the results you want today   summer plans online now  



 personaltrainer  london",51.52793559,-0.19983703,GB,"[51.52793559, -0.19983703]",Greater London
"wind   mph e
barometer   mbfalling slowly 
temperature    c 
rain today   mm 
humidity  
at     ukweather  weather",51.87472222,0.98694444,GB,"[51.87472222, 0.98694444]",Essex
happy th birthday maam  proudtobebritish  thequeen  corgis  ,51.51353710000001,-0.1432776,GB,"[51.51353710000001, -0.1432776]",Greater London
conjunctivitis attack  on the mend now but feeling very self conscious about my hideous baggy eye ,53.72155344,-1.3649555,GB,"[53.72155344, -1.3649555]",West Yorkshire
leeds castle a magnificent castle surrounded by a beautiful park    leeds castle un ch teau  ,51.24912127,0.63037695,GB,"[51.24912127, 0.63037695]",Kent
all set up for our  subseastorage workshop today at the village urban resort in prime four  ,57.15117289999999,-2.2259016,GB,"[57.15117289999999, -2.2259016]",Aberdeen City
"we would like to wish her majesty a very happy th birthday 
 hermajesty  queenelizabeth  ",50.22664,-5.26538,GB,"[50.22664, -5.26538]",Cornwall
a   win against the local rival  we are mighty reds  keep on going then we are gonna  ,53.40517578,-2.97922927,GB,"[53.40517578, -2.97922927]",Merseyside
